Title,Author,Rating
مثنوی معنوی,Jalal ad-Din Muhammad ar-Rumi,"4.45 avg rating — 4,103 ratings"
Jacques the Fatalist,Denis Diderot,"3.80 avg rating — 9,176 ratings"
Season of Migration to the North,Tayeb Salih,"3.72 avg rating — 30,915 ratings"
The Tale of Genji,Murasaki Shikibu,"3.72 avg rating — 14,078 ratings"
Sentimental Education,Gustave Flaubert,"3.81 avg rating — 23,519 ratings"
أولاد حارتنا,Naguib Mahfouz,"4.09 avg rating — 29,951 ratings"
Independent People,Halldór Laxness,"4.13 avg rating — 13,313 ratings"
The Sound of the Mountain,Yasunari Kawabata,"3.85 avg rating — 8,826 ratings"
Nostromo,Joseph Conrad,"3.81 avg rating — 17,355 ratings"
Diary of a Madman and Other Stories,Lu Xun,"3.91 avg rating — 2,365 ratings"
Grande Sertão: Veredas,João Guimarães Rosa,"4.61 avg rating — 5,751 ratings"
Zeno's Conscience,Italo Svevo,"3.77 avg rating — 29,527 ratings"
Romancero gitano,Federico García Lorca,"4.22 avg rating — 12,774 ratings"
History,Elsa Morante,"4.30 avg rating — 8,768 ratings"
Poems of Paul Celan,Paul Celan,"4.34 avg rating — 3,468 ratings"
Berlin Alexanderplatz,Alfred Döblin,"3.85 avg rating — 10,416 ratings"
Njal's Saga,Anonymous,"3.94 avg rating — 5,232 ratings"
The Recognition of Śakuntalā,Kālidāsa,"3.86 avg rating — 1,908 ratings"
The Orchard: The Bostan Of Saadi Of Shiraz,Saadi,"4.35 avg rating — 1,985 ratings"
The Poems of Giacomo Leopardi,Giacomo Leopardi,"4.39 avg rating — 2,965 ratings"
